objected,title,creator,subject,date,format,filename,youtubeid
man_134,Puras necesidades,Dunieslys Abreu Otero,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=_oWkNe0ruik,oWkNe0ruik
man_135,Puras necesidades,,Ficha Técnica,,application/pdf,,
man_136,Stop,Juset Torres Rivero,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=uMtqr34hUnQ,uMtqr34hUnQ
man_137,Stop,,Ficha Técnica,,application/pdf,ft_stop.pdf,
man_138,Taciturna,Inés Rita Marín Izaguirre y Hugo Navarro Ramírez,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=xl29szAH3TI,xl29szAH3TI
man_139,Taciturna,,Ficha Técnica,,application/pdf,ft_taciturna.pdf,
man_140,Taciturna,,Poster,,image/jpeg,p_taciturna.jpg,
man_141,Tiempo,Yordany Robles Borges,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=ewVSJCjQtWk,ewVSJCjQtWk
man_142,Tiempo,,Ficha Técnica,,application/pdf,ft_tiempo.pdf,
man_143,Zona cero,Hugo Navarro Ramírez,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=1hybCztY7to,1hybCztY7to
man_144,Zona cero,,Ficha Técnica,,application/pdf,ft_zonacero.pdf,
man_145,Inventario,Celia Serrano Maldonado,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=zpR4YeLE_EA,zpR4YeLE_EA
man_146,Inventario,,Ficha Técnica,,application/pdf,ft_inventario.pdf,
man_147,El pique,Roger García Cardoso,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=EunyCHIr7yo,EunyCHIr7yo
man_148,El pique,,Ficha Técnica,,application/pdf,ft_pique.pdf,
man_149,Metamorfosis,Javier Sánchez Recio,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=oBwFWG2r5oQ,oBwFWG2r5oQ
man_150,Metamorfosis,,Ficha Técnica,,application/pdf,ft_metamorfosis.pdf,
